receipt_date,cumulative_total
2023-09-28,385547.11
2023-09-28,385847.11
2023-09-28,386847.11
2023-09-28,387097.11
2023-09-28,388097.11
2023-09-28,388147.11
2023-09-28,389147.11
2023-09-28,389157.11
2023-09-28,389657.11
2023-09-28,389907.11
2023-09-28,390107.11
2023-09-28,390357.11
2023-09-28,391157.11
2023-09-28,391207.11
2023-09-28,391357.11
2023-09-28,391607.11
2023-09-28,391632.11
2023-09-28,391732.11
2023-09-28,392832.11
2023-09-28,392932.11
2023-09-28,393352.11
2023-09-28,394352.11
2023-09-28,394602.11
2023-09-28,394752.11
2023-09-29,395002.11
2023-09-29,395252.11
2023-09-29,395602.11
2023-09-29,398002.11
2023-09-29,400402.11
2023-09-29,400902.11
2023-09-29,401002.11
2023-09-29,401252.11
2023-09-29,401502.11
2023-09-29,401527.11
2023-09-29,401627.11
2023-09-29,401677.11
2023-09-30,402677.11
2023-09-30,403177.11
2023-09-30,403277.11
2023-09-30,403327.11
2023-09-30,403827.11
2023-09-30,403852.11
2023-09-30,404102.11
2023-09-30,404352.11
2023-09-30,404814.11
2023-09-30,404864.11
2023-09-30,404914.11
2023-10-01,405164.11
2023-10-01,406487.11
2023-10-01,406537.11
2023-10-01,406562.11
2023-10-01,406572.11
2023-10-02,406822.11
2023-10-02,407072.11
2023-10-02,407322.11
2023-10-03,407572.11
2023-10-03,408572.11
2023-10-03,408697.11
2023-10-03,408822.11
2023-10-03,409322.11
2023-10-03,409522.11
2023-10-03,410022.11
2023-10-03,410272.11
2023-10-04,410322.11
2023-10-04,410572.11
2023-10-04,410822.11
2023-10-04,411072.11
2023-10-04,413472.11
2023-10-04,413522.11
2023-10-05,414022.11
2023-10-05,414122.11
2023-10-05,414222.11
2023-10-05,414472.11
2023-10-05,414722.11
2023-10-05,415222.11
2023-10-05,416782.11
2023-10-06,417282.11
2023-10-06,417532.11
2023-10-06,418732.11
2023-10-06,419232.11
2023-10-06,420432.11
2023-10-06,420682.11
2023-10-06,421182.11
2023-10-06,421332.11
2023-10-06,421582.11
2023-10-08,421682.11
2023-10-08,422682.11
2023-10-08,423182.11
2023-10-08,423432.11
2023-10-08,423457.11
2023-10-08,423557.11
2023-10-08,423807.11
2023-10-08,426207.11
2023-10-08,428607.11
2023-10-08,429107.11
2023-10-09,429357.11
2023-10-09,429557.11
2023-10-09,429807.11
2023-10-09,430057.11
2023-10-09,430557.11
2023-10-09,430707.11
2023-10-09,430807.11
2023-10-09,431807.11
2023-10-09,432307.11
2023-10-09,433307.11
2023-10-10,433247.11
2023-10-10,433747.11
2023-10-10,434247.11
2023-10-10,434447.11
2023-10-10,434697.11
2023-10-10,434757.11
2023-10-10,435007.11
2023-10-10,435107.11
2023-10-10,435357.11
2023-10-10,436357.11
2023-10-11,436607.11
2023-10-11,436857.11
2023-10-11,437107.11
2023-10-11,437894.11
2023-10-11,438144.11
2023-10-12,439144.11
2023-10-12,439244.11
2023-10-12,439254.11
2023-10-12,440254.11
2023-10-12,440504.11
2023-10-13,440804.11
2023-10-13,441304.11
2023-10-13,441554.11
2023-10-13,441654.11
